Sikayet,Bolum
Çok üşüyorum ve halsizim,Dahiliye
Mide bulantısı ve kusmam var,Dahiliye
Karnım çok ağrıyor şişkinlik var,Dahiliye
Şekerim yükseldi diyabet kontrolü,Dahiliye
Tırnaklarım çok çabuk kırılıyor,Dahiliye
Gözüm bulanık görüyor ağrıyor,Göz Hastalıkları
Uzağı net göremiyorum harfler karışıyor,Göz Hastalıkları
Gözlük numaramı değiştireceğim,Göz Hastalıkları
Yakını okuyamıyorum odaklanamıyorum,Göz Hastalıkları
Gözümde arpacık çıktı şişti,Göz Hastalıkları
Başım çok ağrıyor zonkluyor,Nöroloji
Şiddetli migrenim tuttu ışığa bakamıyorum,Nöroloji
Elimde ve ayağımda uyuşma var,Nöroloji
Unutkanlık başladı her şeyi unutuyorum,Nöroloji
Dengemi kaybediyorum başım dönüyor,Nöroloji
Çocuğumun ateşi yükseldi öksürüyor,Çocuk Sağlığı
Bebek sürekli ağlıyor huzursuz,Çocuk Sağlığı
Çocuğun vücudunda döküntüler var,Çocuk Sağlığı
Çocuğum öksürüyor burnu akıyor,Çocuk Sağlığı
Bebeğin boyu uzamıyor gelişim yavaş,Çocuk Sağlığı
Dişim çok ağrıyor zonkluyor,Diş Hekimliği
Diş etlerim kanıyor sızlıyor,Diş Hekimliği
20lik dişim çıkıyor çenem ağrıyor,Diş Hekimliği
Dişim kırıldı dolgu yapılacak,Diş Hekimliği
Çürük dişim var çekilecek,Diş Hekimliği
Kalbim sıkışıyor nefesim kesiliyor,Kardiyoloji
Göğsümde baskı ve ağrı var,Kardiyoloji
Çarpıntım var kalbim hızlı atıyor,Kardiyoloji
Kalbimde ağrı var sol kolum uyuşuyor,Kardiyoloji
Tansiyonum yükseldi göğsüm sıkıştı,Kardiyoloji
Bacağım kırıldı veya çatladı ağrıyor,Ortopedi
Kolumu kaldıramıyorum omuzum ağrıyor,Ortopedi
Dizim şişti üzerine basamıyorum,Ortopedi
Belim tutuldu hareket edemiyorum,Ortopedi
Bacağımda kramplar oluyor kasılıyor,Ortopedi
Cildimde kaşıntı kızarıklık var,Cildiye
Yüzümde sivilce ve akne var,Cildiye
Saçım çok dökülüyor tepesi açıldı,Cildiye
Vücudumda kaşınan mantar var,Cildiye
Egzama var ellerim deri döküyor,Cildiye
Ameliyat dikişlerim patladı kanıyor,Genel Cerrahi
Karnımda sert bir kitle var,Genel Cerrahi
Apandisit şüphem var sağım ağrıyor,Genel Cerrahi
Mememde elime kitle topak geliyor,Genel Cerrahi
Hemoroid problemim var basur oldum,Genel Cerrahi
İdrar yaparken yanma sızı oluyor,Üroloji
Böbreklerim ağrıyor taş olabilir,Üroloji
İdrarda kan gördüm çok korkuyorum,Üroloji
Testislerde ağrı ve şişlik var,Üroloji
İdrarımı tutamıyorum sürekli kaçırıyorum,Üroloji
Boğazım ağrıyor yutkunamıyorum,Kulak Burun Boğaz
Burnum tıkalı nefes alamıyorum,Kulak Burun Boğaz
Kulağım çınlıyor az duyuyorum,Kulak Burun Boğaz
Bademciklerim şişti iltihap var,Kulak Burun Boğaz
Geniz etim var horluyorum,Kulak Burun Boğaz
Çok stresliyim ruhsal kötüyüm,Psikiyatri
Kaygılıyım panik atak geçiriyorum,Psikiyatri
Depresyondayım hiçbir şey yapmıyorum,Psikiyatri
Sinir krizi geçiriyorum sakinleşemiyorum,Psikiyatri
Ruh sağlığım bozuk bunalımdayım,Psikiyatri
Beyin tümörü ameliyatı olacağım,Beyin Cerrahisi
Bel fıtığım ilerledi bacağım uyuşuk,Beyin Cerrahisi
Boyun fıtığı kollarım güçsüz,Beyin Cerrahisi
Kafama darbe aldım kanama şüphesi,Beyin Cerrahisi
Omurilik zedelenmesi hareket kısıtlı,Beyin Cerrahisi
Sürekli öksürüyorum balgam geliyor,Göğüs Hastalıkları
Astımım var nefes darlığı çekiyorum,Göğüs Hastalıkları
Tükürüğümde kan var akciğerim ağrıyor,Göğüs Hastalıkları
Zatürre şüphem var göğsüm hırıldıyor,Göğüs Hastalıkları
Nefes alırken ıslık sesi geliyor,Göğüs Hastalıkları
Bacağımda damar ağrısı var,Kalp ve Damar Cerrahisi
Bacaklarımda varisler sızlıyor,Kalp ve Damar Cerrahisi
Damarlarım şişti ve bacağım morardı,Kalp ve Damar Cerrahisi
Yürürken bacak damarlarım çekiliyor,Kalp ve Damar Cerrahisi
Bacağımda damar tıkanıklığı var,Kalp ve Damar Cerrahisi
Hamilelik şüphem var test yapacağım,Kadın Doğum
Adet düzensizliği yaşıyorum günüm geçti,Kadın Doğum
Kasıklarımda şiddetli ağrı ve sancı var,Kadın Doğum
Vajinal akıntım ve kaşıntım var,Kadın Doğum
Gebelikte ultrason kontrolü istiyorum,Kadın Doğum
Bel fıtığı için seans almak istiyorum,Fizik Tedavi
Boynum tutuldu fizik tedavi lazım,Fizik Tedavi
Ameliyat sonrası rehabilitasyon gerekli,Fizik Tedavi
Kireçlenme var eklemlerim çalışmıyor,Fizik Tedavi
Duruş bozukluğu için egzersiz lazım,Fizik Tedavi